enz,max_slope,r2,intercept,substrate,colony
c34_nitroacetanilide,0.263350782,0.9991182629553275,-15.54869977,nitroacetanilide,c34
c37_nitroacetanilide,0.259356538,0.9985740305469821,-17.02872091,nitroacetanilide,c37
c20_nitroacetanilide,0.257558502,0.9987267969872544,-14.80197507,nitroacetanilide,c20
c30_nitroacetanilide,0.252293199,0.9982950112949018,-18.68382459,nitroacetanilide,c30
c36_nitroacetanilide,0.252191128,0.9983854155519187,-17.64613525,nitroacetanilide,c36
c12_nitroacetanilide,0.251918573,0.9986764468712572,-19.7193376,nitroacetanilide,c12
c38_nitroacetanilide,0.251646747,0.9985450060586379,-17.03239,nitroacetanilide,c38
c31_nitroacetanilide,0.248360049,0.9986937095264853,-18.06023439,nitroacetanilide,c31
c21_nitroacetanilide,0.239615935,0.9985499898154626,-16.58649837,nitroacetanilide,c21
c29_nitroacetanilide,0.237907941,0.9985125555709038,-18.76905308,nitroacetanilide,c29
c35_nitroacetanilide,0.237064151,0.9985661169365544,-18.38244186,nitroacetanilide,c35
c19_nitroacetanilide,0.236553687,0.9988549925964427,-13.63937486,nitroacetanilide,c19
c41_nitroacetanilide,0.227619147,0.9993902781823055,-3.590729172,nitroacetanilide,c41
c44_nitroacetanilide,0.224395294,0.9985614823555483,-17.69939734,nitroacetanilide,c44
c3_nitroacetanilide,0.219763944,0.9986077208685011,-18.74023356,nitroacetanilide,c3
c24_nitroacetanilide,0.21840062,0.9993803799424357,-13.0947137,nitroacetanilide,c24
c43_nitroacetanilide,0.207837761,0.9992583838553827,-12.65411593,nitroacetanilide,c43
c8_nitroacetanilide,0.206263909,0.9995361263465784,-13.0847203,nitroacetanilide,c8
c18_nitroacetanilide,0.203391728,0.9998382334063549,-3.345336686,nitroacetanilide,c18
c9_nitroacetanilide,0.195133234,0.999558791,-6.928188473,nitroacetanilide,c9
c10_nitroacetanilide,0.15337924,0.9995317731444312,-8.078016929,nitroacetanilide,c10
c2_nitroacetanilide,0.148275672,0.9997398136909915,-9.723036389,nitroacetanilide,c2
c6_nitroacetanilide,0.139102858,0.9966328691915534,-18.83895331,nitroacetanilide,c6
c42_nitroacetanilide,0.138068535,0.9996452076887207,-5.295878544,nitroacetanilide,c42
c33_nitroacetanilide,0.130104559,0.9997470975501676,-7.419744126,nitroacetanilide,c33
c22_nitroacetanilide,0.128848088,0.9951283338644236,-16.28143668,nitroacetanilide,c22
rfp_nitroacetanilide_91,0.126588909,0.9953776122318699,-17.06210045,nitroacetanilide,rfp
c7_nitroacetanilide,0.121012552,0.995178477,-18.43982127,nitroacetanilide,c7
c26_nitroacetanilide,0.12036936,0.9996502423559083,-6.899223253,nitroacetanilide,c26
rfp_nitroacetanilide_43,0.118319696,0.9952672903498675,-17.63038652,nitroacetanilide,rfp
c17_nitroacetanilide,0.114245078,0.9996432934623675,-5.063971302,nitroacetanilide,c17
c32_nitroacetanilide_355,0.113986497,0.999502784,-6.814473288,nitroacetanilide,c32
c25_nitroacetanilide,0.091455944,0.9994166460012152,-6.129384543,nitroacetanilide,c25
c11_nitroacetanilide,0.083725507,0.9965749876571333,-15.66682223,nitroacetanilide,c11
c1_nitroacetanilide,0.002535095,0.7550151313435565,-7.769101155,nitroacetanilide,c1
c35_urea_4np,0.038261904,0.9967860403889324,-6.60175062,urea,c35
wt_urea_4np_178,0.036255749,0.9956323985531357,-6.118121133,urea,wt
c44_urea_4np,0.034765507,0.9960874238049882,-6.321752631,urea,c44
c36_urea_4np,0.034205486,0.9952478170856605,-5.246014001,urea,c36
wt_urea_4np_130,0.033009283,0.9945061958197294,-5.168692293,urea,wt
c34_urea_4np,0.032172895,0.9956124483382377,-5.641533459,urea,c34
c37_urea_4np,0.029621111,0.996105431,-4.459322038,urea,c37
c20_urea_4np,0.02747818,0.9932829631374349,-2.837089091,urea,c20
c29_urea_4np,0.024965702,0.995515949,-5.034774926,urea,c29
rfp_urea_4np_82,0.024367641,0.9921220940337803,-4.836062143,urea,rfp
c21_urea_4np,0.024128065,0.993177798,-3.208968556,urea,c21
c28_urea_4np,0.024050919,0.9934161196742475,-5.193427902,urea,c28
c30_urea_4np,0.019417762,0.9906154169379453,-4.005989814,urea,c30
c22_urea_4np,0.016488012,0.9847187404189817,-2.10662806,urea,c22
c43_urea_4np,0.016209398,0.9835624072063603,-2.84648399,urea,c43
c19_urea_4np,0.014325239,0.9850661687179165,-0.937588791,urea,c19
c31_urea_4np,0.009157046,0.9688873078429845,-2.798485071,urea,c31
rfp_urea_4np_34,0.007201674,0.9377050661849298,-7.844929818,urea,rfp
c27_urea_4np,0.005649207,0.9260724989605874,-2.333653363,urea,c27
c38_urea_4np,0.005034613,0.8889033219027469,-1.538020561,urea,c38
c13_urea_4np,0.003005381,0.6845961180117011,-2.7112979,urea,c13
c12_urea_4np,0.002783643,0.6996231898008765,-3.549235594,urea,c12
c14_urea_4np,0.002538208,0.7568705302998596,-3.158778958,urea,c14
c4_urea_4np,0.002526617,0.7525562887839219,-3.904948591,urea,c4
c2_urea_4np,0.002468473,0.723437441,-3.930228052,urea,c2
c5_urea_4np,0.002457877,0.7142326393217797,-3.299669533,urea,c5
c3_urea_4np,0.002422494,0.7042504373763163,-3.577174533,urea,c3
c23_urea_4np,0.002362768,0.6558573459913847,-0.434871584,urea,c23
c15_urea_4np,0.00232141,0.633097737,-2.661450298,urea,c15
c41_urea_4np,0.002254062,0.619984646,-2.649316421,urea,c41
c32_urea_4np_346,0.002191132,0.6232942910331988,-1.297455561,urea,c32
c11_urea_4np,0.002169762,0.5530843777155089,-3.37554792,urea,c11
c33_urea_4np,0.001929409,0.482149129,-1.990411489,urea,c33
c8_urea_4np,0.001887164,0.4450818663435371,-4.143509914,urea,c8
c42_urea_4np,0.001854459,0.44074807714973324,-1.234437105,urea,c42
c9_urea_4np,0.001827279,0.45114972667646885,-3.409938614,urea,c9
c25_urea_4np,0.001693788,0.3399890362999816,-1.932831197,urea,c25
c6_urea_4np,0.001615203,0.3090691941533418,-3.5539567,urea,c6
c26_urea_4np,0.001592313,0.34483910287664554,-1.530476808,urea,c26
c10_urea_4np,0.001538936,0.28413807563083066,-3.310701525,urea,c10
c17_urea_4np,0.001318204,0.2241159632731758,-0.97485637,urea,c17
c24_urea_4np,0.001194657,0.2214796868033045,-1.56681655,urea,c24
c32_urea_4np_33,0.001095109,0.14450325107553974,-1.51464281,urea,c32
c18_urea_4np,8.18E-04,0.2268151471478586,0.057704647,urea,c18
c40_urea_4np,5.92E-04,0.054032688648818224,-0.162233993,urea,c40
c16_urea_4np,4.25E-04,0.030680211816838714,-1.955705011,urea,c16
c7_urea_4np,1.03E-04,0.010007066327115897,-2.876913423,urea,c7
c1_urea_4np,7.72E-18,0.5336164018471261,-3.178104026,urea,c1
